,index,County,X,Y,OBJECTID,PPIN,NAME,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,Census_Tract,GEOID,total_pop_estimate,white_estimate,black_estimate,native_american_estimate,asian_estimate,pacific_islander_estimate,other_race_estimate,two_or_more_estimate,med_inc_estimate,total_pop_moe,white_moe,black_moe,native_american_moe,asian_moe,pacific_islander_moe,other_race_moe,two_or_more_moe,med_inc_moe,black_percentage
1229,17007,Wayne County,-81.820667,40.727658,15992,A1302326,GEIS ACRES SCHOOL,5895 S CARR RD,APPLE CREEK,OH,44606,39,39169,Wayne County,42,40.727658,-81.820667,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169003700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1233,17011,Wayne County,-81.690241,40.75354,15981,A1302273,CHESTNUT VALLEY,16620 HACKETT RD,DALTON,OH,44618,39,39169,Wayne County,41,40.75354,-81.690241,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169003700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1236,17014,Wayne County,-81.887041,40.68742,16002,A1302398,MEADOW SPRINGS,4195 GRABER RD,FREDRICKSBURG,OH,44627,39,39169,Wayne County,42,40.68742,-81.887041,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1239,17017,Wayne County,-81.847817,40.673742,16001,A1302397,MEADOW ROCK,6835 SALT CREEK RD,FREDERICKSBURG,OH,44627,39,39169,Wayne County,42,40.673742,-81.847817,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001800,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1243,17021,Wayne County,-81.823606,40.765989,16014,A1302501,SOUTH MILLBORNE,2764 S MILLBORNE RD,APPLE CREEK,OH,44606,39,39169,Wayne County,42,40.765989,-81.823606,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1245,17023,Wayne County,-81.821831,40.69471,16012,A1302483,SCENIC KNOLL SCHOOL,8505 CRISWELL RD,FREDRICKSBURG,OH,44627,39,39169,Wayne County,42,40.69471,-81.821831,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1246,17024,Wayne County,-81.872751,40.71038,16005,A1302418,NEBO VALLEY,5025 MORELAND RD,WOOSTER,OH,44691,39,39169,Wayne County,42,40.71038,-81.872751,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001400,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1247,17025,Wayne County,-81.933661,40.70676,16021,A1302539,SUNNY MEADOW,7510 JAMES RD,WOOSTER,OH,44691,39,39169,Wayne County,42,40.70676,-81.933661,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001800,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1248,17026,Wayne County,-81.682181,40.698396,15988,A1302310,EAST MT EATON,17172 HARRISON RD SW,NAVARRE,OH,44662,39,39169,Wayne County,41,40.698396,-81.682181,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1250,17028,Wayne County,-81.780075,40.71456,15998,A1302359,JOHNSON SCHOOL,11036 E MORELAND RD,APPLE CREEK,OH,44606,39,39169,Wayne County,42,40.71456,-81.780075,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1251,17029,Wayne County,-82.125806,40.750218,15996,A1302355,INDIAN VALLEY,11359 BLACHLEYVILLE RD,WOOSTER,OH,44691,39,39169,Wayne County,42,40.750218,-82.125806,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1254,17032,Wayne County,-81.668742,40.673644,16015,A1302503,SOUTH VIEW,18099 DOVER RD,DUNDEE,OH,44624,39,39169,Wayne County,41,40.673644,-81.668742,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169003700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1260,17038,Wayne County,-81.860236,40.689094,16010,A1302473,RIDGE VIEW,9078 S CARR RD,FREDERICKSBURG,OH,44627,39,39169,Wayne County,42,40.689094,-81.860236,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1263,17041,Wayne County,-81.755461,40.72851,16008,A1302436,OAK GROVE II DAN STUTZMAN,5828 S KOHLER RD,APPLE CREEK,OH,44606,39,39169,Wayne County,42,40.72851,-81.755461,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1266,17044,Wayne County,-81.774292,40.668399,15979,A1302265,CALMOUTIER,10770 ABRAHAM RD,FREDRICKSBURG,OH,44627,39,39169,Wayne County,42,40.668399,-81.774292,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1267,17045,Wayne County,-81.954311,40.7017,16004,A1302409,MORELAND SCHOOL,8083 MILLERSBURG RD,WOOSTER,OH,44691,39,39169,Wayne County,42,40.7017,-81.954311,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1268,17046,Wayne County,-81.749131,40.75497,15976,A1302242,APPLE GROVE,12899 HACKETT RD,ORRVILLE,OH,44667,39,39169,Wayne County,42,40.75497,-81.749131,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1273,17051,Wayne County,-81.788374,40.798933,16006,A1302427,NORTH END,10544 OLD LINCOLN WAY E,ORRVILLE,OH,44667,39,39169,Wayne County,41,40.798933,-81.788374,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1275,17053,Wayne County,-81.746211,40.68305,16009,A1302463,PLEASANT VIEW I,9529 KIDRON RD,APPLE CREEK,OH,44606,39,39169,Wayne County,42,40.68305,-81.746211,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1276,17054,Wayne County,-81.785119,40.680096,16011,A1302477,ROCK VALLEY,9771 MT HOPE RD,APPLE CREEK,OH,44606,39,39169,Wayne County,42,40.680096,-81.785119,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169003700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1278,17056,Wayne County,-81.697281,40.71551,16007,A1302428,NORTH FORK,6869 S MT. EATON RD,DALTON,OH,44618,39,39169,Wayne County,41,40.71551,-81.697281,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169003300,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1280,17058,Wayne County,-81.547221,39.46687,15969,1060477,ST JOHN CENTRAL GRADE SCHOOL,17654 STATE ROUTE 676,MARIETTA,OH,45750,39,39167,Washington County,42,39.46687,-81.547221,31930,"Marietta, OH",2,425,"Parkersburg-Marietta-Vienna, WV-OH",N,N,3906,39095,39030,2021-2022,39169002901,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1281,17059,Wayne County,-81.934271,40.8041,15972,1058978,ST MARY OF IMMACULATE CONCEPTION SCHOOL,515 BEALL AVE,WOOSTER,OH,44691,39,39169,Wayne County,32,40.8041,-81.934271,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001400,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1283,17061,Wayne County,-81.746671,40.709786,15977,A1302250,BEECH GROVE,7373 KIDRON RD,APPLE CREEK,OH,44606,39,39169,Wayne County,42,40.709786,-81.746671,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169001700,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
1284,17062,Wayne County,-81.785041,40.77015,15975,A1302240,ANDERSON SCHOOL,10795 LAUTENSCHLAGER RD,APPLE CREEK,OH,44606,39,39169,Wayne County,41,40.77015,-81.785041,49300,"Wooster, OH",2,184,"Cleveland-Akron-Canton, OH",N,N,3916,39001,39027,2021-2022,39169003300,21231,19666,18280,97,268,8,0,515,498,41583,,67,77,127,15,19,174,217,4426,0.004932370588833519
