,County,State,num_private_schools
206,Buffalo County,Nebraska,2
207,Buffalo County,Wisconsin,1
208,Bullitt County,Kentucky,2
209,Bulloch County,Georgia,3
210,Bullock County,Alabama,1
211,Buncombe County,North Carolina,29
212,Bureau County,Illinois,2
213,Burke County,Georgia,3
214,Burke County,North Carolina,5
215,Burleigh County,North Dakota,9
216,Burleson County,Texas,1
217,Burlington County,New Jersey,34
218,Burnet County,Texas,3
219,Butler County,Alabama,1
220,Butler County,Kansas,2
221,Butler County,Kentucky,1
222,Butler County,Missouri,3
223,Butler County,Nebraska,2
224,Butler County,Ohio,17
225,Butler County,Pennsylvania,17
226,Butte County,California,9
227,Cabarrus County,North Carolina,7
228,Cabell County,West Virginia,7
229,Cache County,Utah,1
230,Caddo Parish,Louisiana,15
231,Calcasieu Parish,Louisiana,7
232,Caldwell County,North Carolina,1
233,Caldwell County,Texas,3
234,Caldwell Parish,Louisiana,1
235,Caledonia County,Vermont,9
236,Calhoun County,Alabama,7
237,Calhoun County,Illinois,2
238,Calhoun County,Michigan,6
239,Calhoun County,Mississippi,1
240,Calhoun County,South Carolina,2
241,Calhoun County,Texas,1
242,Calhoun County,West Virginia,1
243,Callaway County,Missouri,3
244,Calloway County,Kentucky,1
245,Calumet County,Wisconsin,7
246,Calvert County,Maryland,5
247,Cambria County,Pennsylvania,13
248,Camden County,Georgia,4
249,Camden County,Missouri,1
250,Camden County,New Jersey,35
251,Cameron County,Texas,14
252,Campbell County,Kentucky,12
253,Campbell County,Tennessee,2
254,Campbell County,Virginia,4
255,Canadian County,Oklahoma,3
256,Canyon County,Idaho,10
257,Cape Girardeau County,Missouri,9
258,Cape May County,New Jersey,6
259,Capitol Planning Region,Connecticut,55
260,Carbon County,Pennsylvania,6
261,Carlton County,Minnesota,1
262,Caroline County,Maryland,2
263,Caroline County,Virginia,1
264,Carroll County,Arkansas,2
265,Carroll County,Georgia,3
266,Carroll County,Indiana,1
267,Carroll County,Iowa,1
268,Carroll County,Kentucky,1
269,Carroll County,Maryland,13
270,Carroll County,Mississippi,1
271,Carroll County,New Hampshire,1
272,Carroll County,Virginia,1
273,Carson City,Nevada,1
274,Carter County,Kentucky,1
275,Carter County,Oklahoma,4
276,Carter County,Tennessee,2
277,Carteret County,North Carolina,5
278,Carver County,Minnesota,16
279,Cascade County,Montana,6
280,Casey County,Kentucky,3
281,Cass County,Illinois,2
282,Cass County,Michigan,1
283,Cass County,Minnesota,2
284,Cass County,Missouri,4
285,Cass County,Nebraska,2
286,Cass County,North Dakota,8
287,Catahoula Parish,Louisiana,1
288,Catawba County,North Carolina,7
289,Cattaraugus County,New York,17
290,Cavalier County,North Dakota,1
291,Cayuga County,New York,8
292,Cecil County,Maryland,7
293,Cedar County,Iowa,1
294,Cedar County,Missouri,3
295,Cedar County,Nebraska,3
296,Centre County,Pennsylvania,34
297,Cerro Gordo County,Iowa,3
298,Chaffee County,Colorado,2
299,Chambers County,Alabama,4
300,Champaign County,Illinois,15
301,Champaign County,Ohio,2
302,Chariton County,Missouri,1
303,Charles City County,Virginia,1
304,Charles County,Maryland,7
305,Charleston County,South Carolina,34
306,Charlevoix County,Michigan,1
307,Charlotte County,Florida,7
308,Charlottesville city,Virginia,10
309,Chatham County,Georgia,27
310,Chatham County,North Carolina,2
311,Chautauqua County,New York,10
312,Chaves County,New Mexico,3
313,Cheatham County,Tennessee,2
314,Cheboygan County,Michigan,3
315,Chelan County,Washington,7
316,Chemung County,New York,7
317,Chenango County,New York,2
318,Cherokee County,Georgia,12
319,Cherokee County,North Carolina,2
320,Cherokee County,Oklahoma,1
321,Cherokee County,Texas,1
322,Cherry County,Nebraska,1
323,Chesapeake city,Virginia,20
324,Cheshire County,New Hampshire,12
325,Chester County,Pennsylvania,79
326,Chester County,South Carolina,1
327,Chester County,Tennessee,1
328,Chesterfield County,South Carolina,4
329,Chesterfield County,Virginia,15
330,Chickasaw County,Iowa,1
331,Chilton County,Alabama,1
332,Chippewa County,Michigan,2
333,Chippewa County,Wisconsin,13
334,Chisago County,Minnesota,1
335,Chittenden County,Vermont,20
336,Choctaw County,Alabama,2
337,Choctaw County,Mississippi,1
338,Choctaw County,Oklahoma,1
339,Chowan County,North Carolina,1
340,Christian County,Illinois,6
341,Christian County,Kentucky,6
342,Christian County,Missouri,1
343,Churchill County,Nevada,2
344,Cibola County,New Mexico,2
345,Citrus County,Florida,5
346,Clackamas County,Oregon,24
347,Claiborne County,Tennessee,4
348,Claiborne Parish,Louisiana,2
349,Clallam County,Washington,4
350,Clare County,Michigan,3
351,Clarendon County,South Carolina,3
352,Clarion County,Pennsylvania,13
353,Clark County,Indiana,4
354,Clark County,Kentucky,4
355,Clark County,Missouri,1
356,Clark County,Nevada,68
357,Clark County,Ohio,9
358,Clark County,Washington,24
359,Clark County,Wisconsin,21
360,Clarke County,Alabama,1
361,Clarke County,Georgia,5
362,Clarke County,Virginia,3
363,Clatsop County,Oregon,1
364,Clay County,Alabama,2
365,Clay County,Florida,16
366,Clay County,Indiana,1
367,Clay County,Iowa,2
368,Clay County,Kansas,1
369,Clay County,Kentucky,3
370,Clay County,Minnesota,2
371,Clay County,Mississippi,3
372,Clay County,Missouri,11
373,Clay County,North Carolina,1
374,Clay County,South Dakota,1
375,Clay County,West Virginia,1
376,Clayton County,Georgia,7
377,Clearfield County,Pennsylvania,14
378,Clearwater County,Minnesota,1
379,Clermont County,Ohio,9
380,Cleveland County,North Carolina,1
381,Cleveland County,Oklahoma,12
382,Clinton County,Illinois,4
383,Clinton County,Indiana,1
384,Clinton County,Iowa,2
385,Clinton County,Michigan,4
386,Clinton County,New York,1
387,Clinton County,Ohio,1
388,Clinton County,Pennsylvania,21
389,Coahoma County,Mississippi,3
390,Cobb County,Georgia,47
391,Cochise County,Arizona,8
392,Coconino County,Arizona,2
393,Codington County,South Dakota,4
394,Coffee County,Alabama,2
395,Coffee County,Georgia,2
396,Coffee County,Tennessee,1
397,Colbert County,Alabama,1
398,Cole County,Missouri,14
399,Coles County,Illinois,4
400,Colfax County,Nebraska,1
401,Colleton County,South Carolina,3
402,Collier County,Florida,19
403,Collin County,Texas,68
404,Colorado County,Texas,2
405,Colquitt County,Georgia,3
406,Columbia County,Arkansas,1
407,Columbia County,Florida,10
408,Columbia County,Georgia,7
409,Columbia County,New York,2
410,Columbia County,Oregon,2
411,Columbia County,Pennsylvania,4
412,Columbia County,Wisconsin,14
413,Columbiana County,Ohio,3
414,Columbus County,North Carolina,1
415,Comal County,Texas,11
416,Comanche County,Oklahoma,1
417,Contra Costa County,California,81
418,Conway County,Arkansas,2
419,Cook County,Georgia,1
420,Cook County,Illinois,427
421,Cooke County,Texas,2
422,Cooper County,Missouri,3
423,Coos County,New Hampshire,5
424,Coos County,Oregon,3
425,Copiah County,Mississippi,1
426,Corson County,South Dakota,1
427,Cortland County,New York,4
428,Coryell County,Texas,1
429,Coshocton County,Ohio,21
430,Cottonwood County,Minnesota,3
431,Covington County,Mississippi,1
432,Covington city,Virginia,1
433,Coweta County,Georgia,5
434,Cowley County,Kansas,1
435,Cowlitz County,Washington,5
436,Craig County,Oklahoma,1
437,Craighead County,Arkansas,3
438,Craven County,North Carolina,7
439,Crawford County,Illinois,1
440,Crawford County,Iowa,2
441,Crawford County,Kansas,2
442,Crawford County,Missouri,2
443,Crawford County,Ohio,4
444,Crawford County,Pennsylvania,38
445,Crawford County,Wisconsin,3
446,Creek County,Oklahoma,3
447,Crenshaw County,Alabama,2
448,Crisp County,Georgia,1
449,Crittenden County,Arkansas,2
450,Crockett County,Tennessee,1
451,Crook County,Oregon,1
452,Crow Wing County,Minnesota,4
453,Cullman County,Alabama,5
454,Culpeper County,Virginia,4
455,Cumberland County,Maine,25
456,Cumberland County,New Jersey,7
457,Cumberland County,North Carolina,20
458,Cumberland County,Pennsylvania,31
459,Cumberland County,Tennessee,1
460,Cumberland County,Virginia,1
461,Cuming County,Nebraska,3
462,Currituck County,North Carolina,1
463,Curry County,New Mexico,1
464,Curry County,Oregon,1
465,Custer County,Montana,2
466,Custer County,Oklahoma,1
467,Cuyahoga County,Ohio,93
468,Dade County,Missouri,1
469,Dakota County,Minnesota,28
470,Dakota County,Nebraska,1
471,Dallas County,Alabama,4
472,Dallas County,Iowa,3
473,Dallas County,Missouri,1
474,Dallas County,Texas,149
475,Dane County,Wisconsin,43
476,Daniels County,Montana,1
477,Danville city,Virginia,5
478,Dare County,North Carolina,2
479,Darke County,Ohio,2
480,Darlington County,South Carolina,7
481,Dauphin County,Pennsylvania,37
482,Davidson County,North Carolina,7
483,Davidson County,Tennessee,60
484,Davie County,North Carolina,1
485,Daviess County,Indiana,20
486,Daviess County,Kentucky,8
487,Daviess County,Missouri,7
488,Davis County,Utah,9
489,Davison County,South Dakota,2
490,Dawes County,Nebraska,1
491,Dawson County,Georgia,2
492,Dawson County,Montana,1
493,Dawson County,Nebraska,1
494,DeKalb County,Alabama,2
495,DeKalb County,Georgia,70
496,DeKalb County,Illinois,4
497,DeKalb County,Indiana,1
498,DeKalb County,Tennessee,1
499,DeSoto County,Florida,3
500,DeSoto County,Mississippi,6
501,DeWitt County,Texas,1
502,Deaf Smith County,Texas,1
503,Dearborn County,Indiana,3
504,Decatur County,Georgia,1
505,Decatur County,Indiana,2
506,Decatur County,Iowa,1
507,Decatur County,Tennessee,1
508,Defiance County,Ohio,2
509,Delaware County,Indiana,2
510,Delaware County,Iowa,1
511,Delaware County,Ohio,13
512,Delaware County,Pennsylvania,72
513,Delta County,Colorado,3
514,Delta County,Michigan,1
515,Dent County,Missouri,1
516,Denton County,Texas,34
517,Denver County,Colorado,45
518,Des Moines County,Iowa,2
519,Deschutes County,Oregon,19
520,Desha County,Arkansas,1
521,Dewey County,South Dakota,1
522,Dickinson County,Kansas,2
523,Dickinson County,Michigan,2
524,Dickson County,Tennessee,1
525,Dillingham Census Area,Alaska,1
526,Dinwiddie County,Virginia,1
527,Dixie County,Florida,1
528,Dodge County,Minnesota,2
529,Dodge County,Nebraska,2
530,Dodge County,Wisconsin,14
531,Dooly County,Georgia,1
532,Door County,Wisconsin,3
533,Dorchester County,Maryland,3
534,Dorchester County,South Carolina,7
535,Dougherty County,Georgia,7
536,Douglas County,Colorado,15
537,Douglas County,Georgia,7
538,Douglas County,Illinois,5
539,Douglas County,Kansas,6
540,Douglas County,Minnesota,4
541,Douglas County,Missouri,1
542,Douglas County,Nebraska,48
543,Douglas County,Nevada,3
544,Douglas County,Oregon,4
545,Douglas County,South Dakota,1
546,Douglas County,Wisconsin,2
547,Doña Ana County,New Mexico,7
548,DuPage County,Illinois,84
549,Dubois County,Indiana,2
550,Dubuque County,Iowa,12
551,Dukes County,Massachusetts,1
552,Dunklin County,Missouri,2
553,Dunn County,Wisconsin,4
554,Duplin County,North Carolina,4
555,Durham County,North Carolina,25
556,Dutchess County,New York,24
557,Duval County,Florida,112
558,Dyer County,Tennessee,2
559,Eagle County,Colorado,7
560,Early County,Georgia,1
561,East Baton Rouge Parish,Louisiana,40
562,East Feliciana Parish,Louisiana,2
563,Eastland County,Texas,1
564,Eaton County,Michigan,4
565,Eau Claire County,Wisconsin,13
566,Ector County,Texas,5
567,Edgefield County,South Carolina,1
568,Effingham County,Illinois,3
569,El Dorado County,California,12
570,El Paso County,Colorado,18
571,El Paso County,Texas,32
