,County,State,num_private_schools
903,Jackson County,Minnesota,2
904,Jackson County,Mississippi,6
905,Jackson County,Missouri,42
906,Jackson County,North Carolina,2
907,Jackson County,Ohio,2
908,Jackson County,Oklahoma,1
909,Jackson County,Oregon,9
910,Jackson County,Texas,1
911,Jackson County,West Virginia,2
912,Jackson County,Wisconsin,1
913,James City County,Virginia,4
914,Jasper County,Illinois,1
915,Jasper County,Indiana,3
916,Jasper County,Iowa,2
917,Jasper County,Mississippi,1
918,Jasper County,Missouri,6
919,Jasper County,South Carolina,3
920,Jasper County,Texas,1
921,Jay County,Indiana,4
922,Jefferson County,Alabama,52
923,Jefferson County,Colorado,32
924,Jefferson County,Florida,2
925,Jefferson County,Georgia,3
926,Jefferson County,Illinois,4
927,Jefferson County,Indiana,2
928,Jefferson County,Iowa,3
929,Jefferson County,Kentucky,72
930,Jefferson County,Missouri,7
931,Jefferson County,Nebraska,1
932,Jefferson County,New York,6
933,Jefferson County,Ohio,2
934,Jefferson County,Pennsylvania,22
935,Jefferson County,Tennessee,2
936,Jefferson County,Texas,9
937,Jefferson County,Washington,3
938,Jefferson County,West Virginia,2
939,Jefferson County,Wisconsin,20
940,Jefferson Davis County,Mississippi,2
941,Jefferson Davis Parish,Louisiana,1
942,Jefferson Parish,Louisiana,37
943,Jennings County,Indiana,1
944,Jerome County,Idaho,2
945,Jim Wells County,Texas,2
946,Johnson County,Indiana,7
947,Johnson County,Iowa,11
948,Johnson County,Kansas,33
949,Johnson County,Kentucky,2
950,Johnson County,Missouri,1
951,Johnson County,Nebraska,1
952,Johnson County,Tennessee,1
953,Johnson County,Texas,10
954,Johnston County,North Carolina,4
955,Jones County,Iowa,2
956,Jones County,Mississippi,2
957,Josephine County,Oregon,6
958,Judith Basin County,Montana,1
959,Juneau City and Borough,Alaska,2
960,Juneau County,Wisconsin,3
961,Juniata County,Pennsylvania,19
962,Kalamazoo County,Michigan,18
963,Kanawha County,West Virginia,7
964,Kandiyohi County,Minnesota,2
965,Kane County,Illinois,36
966,Kankakee County,Illinois,6
967,Kauai County,Hawaii,6
968,Kaufman County,Texas,3
969,Kay County,Oklahoma,2
970,Keith County,Nebraska,2
971,Kemper County,Mississippi,1
972,Kenai Peninsula Borough,Alaska,2
973,Kendall County,Illinois,3
974,Kendall County,Texas,4
975,Kennebec County,Maine,10
976,Kenosha County,Wisconsin,8
977,Kent County,Delaware,17
978,Kent County,Maryland,4
979,Kent County,Michigan,48
980,Kent County,Rhode Island,19
981,Kenton County,Kentucky,22
982,Kern County,California,27
983,Kerr County,Texas,3
984,Kershaw County,South Carolina,4
985,Kewaunee County,Wisconsin,6
986,King County,Washington,210
987,Kingfisher County,Oklahoma,1
988,Kingman County,Kansas,1
989,Kings County,California,3
990,Kings County,New York,195
991,Kingsbury County,South Dakota,1
992,Kit Carson County,Colorado,1
993,Kitsap County,Washington,22
994,Kittitas County,Washington,2
995,Kittson County,Minnesota,3
996,Klamath County,Oregon,4
997,Kleberg County,Texas,2
998,Klickitat County,Washington,3
999,Knox County,Illinois,2
1000,Knox County,Indiana,2
1001,Knox County,Maine,5
1002,Knox County,Nebraska,2
1003,Knox County,Ohio,3
1004,Knox County,Tennessee,37
1005,Kodiak Island Borough,Alaska,1
1006,Koochiching County,Minnesota,1
1007,Kootenai County,Idaho,16
1008,Kosciusko County,Indiana,9
1009,Kossuth County,Iowa,2
1010,La Crosse County,Wisconsin,18
1011,La Plata County,Colorado,6
1012,LaGrange County,Indiana,33
1013,LaPorte County,Indiana,8
1014,LaSalle County,Illinois,8
1015,LaSalle Parish,Louisiana,1
1016,Labette County,Kansas,1
1017,Lackawanna County,Pennsylvania,25
1018,Lafayette County,Arkansas,1
1019,Lafayette County,Florida,1
1020,Lafayette County,Mississippi,4
1021,Lafayette County,Missouri,5
1022,Lafayette County,Wisconsin,1
1023,Lafayette Parish,Louisiana,16
1024,Lafourche Parish,Louisiana,5
1025,Lake County,California,4
1026,Lake County,Colorado,1
1027,Lake County,Florida,34
1028,Lake County,Illinois,48
1029,Lake County,Indiana,40
1030,Lake County,Montana,6
1031,Lake County,Ohio,11
1032,Lake County,South Dakota,2
1033,Lamar County,Georgia,2
1034,Lamar County,Mississippi,6
1035,Lamar County,Texas,2
1036,Lamoille County,Vermont,3
1037,Lampasas County,Texas,1
1038,Lancaster County,Nebraska,22
1039,Lancaster County,Pennsylvania,92
1040,Lancaster County,South Carolina,2
1041,Lancaster County,Virginia,1
1042,Lane County,Oregon,28
1043,Langlade County,Wisconsin,1
1044,Lapeer County,Michigan,2
1045,Laramie County,Wyoming,4
1046,Larimer County,Colorado,13
1047,Las Animas County,Colorado,1
1048,Lassen County,California,2
1049,Latah County,Idaho,4
1050,Lauderdale County,Alabama,4
1051,Lauderdale County,Mississippi,4
1052,Laurel County,Kentucky,3
1053,Laurens County,Georgia,2
1054,Laurens County,South Carolina,1
1055,Lavaca County,Texas,3
1056,Lawrence County,Alabama,1
1057,Lawrence County,Indiana,3
1058,Lawrence County,Kentucky,1
1059,Lawrence County,Missouri,4
1060,Lawrence County,Ohio,2
1061,Lawrence County,Pennsylvania,5
1062,Lawrence County,South Dakota,1
1063,Lawrence County,Tennessee,10
1064,Le Sueur County,Minnesota,3
1065,Lea County,New Mexico,3
1066,Leake County,Mississippi,1
1067,Leavenworth County,Kansas,3
1068,Lebanon County,Pennsylvania,20
1069,Lee County,Alabama,6
1070,Lee County,Florida,33
1071,Lee County,Illinois,2
1072,Lee County,Iowa,5
1073,Lee County,Mississippi,5
1074,Lee County,North Carolina,3
1075,Lee County,Texas,2
1076,Lee County,Virginia,1
1077,Leelanau County,Michigan,2
1078,Leflore County,Mississippi,3
1079,Lehigh County,Pennsylvania,31
1080,Lenawee County,Michigan,5
1081,Lenoir County,North Carolina,3
1082,Leon County,Florida,31
1083,Levy County,Florida,4
1084,Lewis County,Idaho,1
1085,Lewis County,Missouri,1
1086,Lewis County,New York,5
1087,Lewis County,Tennessee,2
1088,Lewis County,Washington,4
1089,Lewis County,West Virginia,1
1090,Lewis and Clark County,Montana,5
1091,Lexington County,South Carolina,12
1092,Lexington city,Virginia,1
1093,Liberty County,Florida,1
1094,Liberty County,Georgia,2
1095,Liberty County,Texas,1
1096,Licking County,Ohio,9
1097,Limestone County,Alabama,3
1098,Lincoln County,Kentucky,1
1099,Lincoln County,Maine,5
1100,Lincoln County,Mississippi,4
1101,Lincoln County,Missouri,4
1102,Lincoln County,Montana,5
1103,Lincoln County,Nebraska,4
1104,Lincoln County,North Carolina,3
1105,Lincoln County,Oregon,3
1106,Lincoln County,South Dakota,5
1107,Lincoln County,Tennessee,2
1108,Lincoln County,Wisconsin,5
1109,Lincoln Parish,Louisiana,3
1110,Linn County,Iowa,12
1111,Linn County,Missouri,2
1112,Linn County,Oregon,4
1113,Livingston County,Illinois,5
1114,Livingston County,Michigan,9
1115,Livingston County,Missouri,1
1116,Livingston County,New York,2
1117,Livingston Parish,Louisiana,2
1118,Llano County,Texas,1
1119,Logan County,Arkansas,2
1120,Logan County,Illinois,1
1121,Logan County,Kentucky,2
1122,Logan County,Ohio,1
1123,Logan County,West Virginia,1
1124,Long County,Georgia,1
1125,Lonoke County,Arkansas,1
1126,Lorain County,Ohio,13
1127,Los Alamos County,New Mexico,2
1128,Los Angeles County,California,745
1129,Loudon County,Tennessee,1
1130,Loudoun County,Virginia,44
1131,Louisa County,Virginia,2
1132,Lower Connecticut River Valley Planning Region,Connecticut,12
1133,Lowndes County,Alabama,1
1134,Lowndes County,Georgia,11
1135,Lowndes County,Mississippi,3
1136,Lubbock County,Texas,15
1137,Lucas County,Ohio,31
1138,Lunenburg County,Virginia,1
1139,Luzerne County,Pennsylvania,25
1140,Lycoming County,Pennsylvania,9
1141,Lynchburg city,Virginia,6
1142,Lyon County,Iowa,3
1143,Lyon County,Kansas,1
1144,Lyon County,Minnesota,6
1145,Lyon County,Nevada,1
1146,Macomb County,Michigan,29
1147,Macon County,Georgia,4
1148,Macon County,Illinois,7
1149,Macon County,Missouri,2
1150,Macon County,North Carolina,2
1151,Macon County,Tennessee,1
1152,Macoupin County,Illinois,1
1153,Madera County,California,4
1154,Madison County,Alabama,30
1155,Madison County,Florida,1
1156,Madison County,Idaho,1
1157,Madison County,Illinois,27
1158,Madison County,Indiana,7
1159,Madison County,Kentucky,2
1160,Madison County,Mississippi,6
1161,Madison County,Nebraska,9
1162,Madison County,New York,2
1163,Madison County,North Carolina,2
1164,Madison County,Ohio,2
1165,Madison County,Tennessee,7
1166,Madison County,Virginia,3
1167,Madison Parish,Louisiana,1
1168,Mahnomen County,Minnesota,1
1169,Mahoning County,Ohio,15
1170,Malheur County,Oregon,1
1171,Manassas Park city,Virginia,1
1172,Manassas city,Virginia,3
1173,Manatee County,Florida,24
1174,Manistee County,Michigan,1
1175,Manitowoc County,Wisconsin,16
1176,Marathon County,Wisconsin,16
1177,Maricopa County,Arizona,192
1178,Maries County,Missouri,1
1179,Marin County,California,30
1180,Marinette County,Wisconsin,6
1181,Marion County,Alabama,1
1182,Marion County,Florida,30
1183,Marion County,Illinois,3
1184,Marion County,Indiana,75
1185,Marion County,Iowa,2
1186,Marion County,Kentucky,1
1187,Marion County,Mississippi,2
1188,Marion County,Missouri,2
1189,Marion County,Ohio,1
1190,Marion County,Oregon,21
1191,Marion County,South Carolina,3
1192,Marion County,Tennessee,1
1193,Marion County,Texas,2
1194,Marion County,West Virginia,1
1195,Mariposa County,California,1
1196,Marlboro County,South Carolina,1
1197,Marquette County,Michigan,1
1198,Marquette County,Wisconsin,2
1199,Marshall County,Alabama,1
1200,Marshall County,Indiana,13
1201,Marshall County,Kansas,1
1202,Marshall County,Kentucky,1
1203,Marshall County,Mississippi,3
1204,Marshall County,West Virginia,1
1205,Martin County,Florida,9
1206,Martin County,Minnesota,6
1207,Mason County,Kentucky,1
1208,Mason County,Michigan,2
1209,Mason County,Washington,2
1210,Mason County,West Virginia,2
1211,Matagorda County,Texas,1
1212,Matanuska-Susitna Borough,Alaska,2
1213,Maui County,Hawaii,18
1214,Maury County,Tennessee,9
1215,Maverick County,Texas,3
1216,Mayes County,Oklahoma,2
1217,McClain County,Oklahoma,1
1218,McCook County,South Dakota,1
1219,McCracken County,Kentucky,3
1220,McDonough County,Illinois,2
1221,McDowell County,North Carolina,1
1222,McHenry County,Illinois,17
1223,McKean County,Pennsylvania,6
1224,McKenzie County,North Dakota,1
1225,McKinley County,New Mexico,8
1226,McLean County,Illinois,9
1227,McLennan County,Texas,11
1228,McLeod County,Minnesota,6
1229,McMinn County,Tennessee,4
1230,McPherson County,Kansas,2
1231,Mecklenburg County,North Carolina,63
1232,Mecklenburg County,Virginia,3
1233,Mecosta County,Michigan,3
1234,Medina County,Ohio,12
1235,Medina County,Texas,2
1236,Meeker County,Minnesota,2
1237,Meigs County,Ohio,1
1238,Mendocino County,California,4
1239,Menominee County,Michigan,2
1240,Merced County,California,8
1241,Mercer County,Illinois,1
1242,Mercer County,Kentucky,1
1243,Mercer County,Missouri,2
1244,Mercer County,New Jersey,41
1245,Mercer County,Ohio,1
1246,Mercer County,Pennsylvania,16
1247,Merrick County,Nebraska,1
1248,Merrimack County,New Hampshire,15
1249,Mesa County,Colorado,7
1250,Miami County,Kansas,3
1251,Miami County,Ohio,7
1252,Miami-Dade County,Florida,404
1253,Middlesex County,Massachusetts,128
1254,Middlesex County,New Jersey,62
1255,Middlesex County,Virginia,1
1256,Midland County,Michigan,5
1257,Midland County,Texas,12
1258,Mifflin County,Pennsylvania,45
1259,Milam County,Texas,2
1260,Millard County,Utah,1
1261,Mille Lacs County,Minnesota,3
1262,Miller County,Arkansas,1
1263,Miller County,Missouri,2
1264,Milwaukee County,Wisconsin,117
1265,Mingo County,West Virginia,2
1266,Minidoka County,Idaho,1
1267,Minnehaha County,South Dakota,12
1268,Missaukee County,Michigan,1
1269,Mississippi County,Arkansas,1
1270,Mississippi County,Missouri,1
1271,Missoula County,Montana,12
1272,Mitchell County,Georgia,2
1273,Mitchell County,Kansas,3
1274,Mitchell County,North Carolina,2
1275,Mobile County,Alabama,33
1276,Modoc County,California,2
1277,Mohave County,Arizona,3
1278,Moniteau County,Missouri,3
1279,Monmouth County,New Jersey,61
1280,Monongalia County,West Virginia,7
1281,Monroe County,Florida,5
1282,Monroe County,Georgia,1
1283,Monroe County,Illinois,2
1284,Monroe County,Indiana,9
1285,Monroe County,Kentucky,1
1286,Monroe County,Michigan,11
1287,Monroe County,Mississippi,1
1288,Monroe County,Missouri,2
1289,Monroe County,New York,49
1290,Monroe County,Ohio,2
1291,Monroe County,Pennsylvania,7
1292,Monroe County,West Virginia,1
1293,Monroe County,Wisconsin,7
1294,Montcalm County,Michigan,5
1295,Monterey County,California,17
1296,Montezuma County,Colorado,2
1297,Montgomery County,Alabama,21
1298,Montgomery County,Georgia,1
1299,Montgomery County,Illinois,2
1300,Montgomery County,Kansas,4
1301,Montgomery County,Kentucky,2
1302,Montgomery County,Maryland,125
1303,Montgomery County,Missouri,1
1304,Montgomery County,New York,4
1305,Montgomery County,North Carolina,3
1306,Montgomery County,Ohio,30
1307,Montgomery County,Pennsylvania,125
1308,Montgomery County,Tennessee,13
1309,Montgomery County,Texas,30
1310,Montgomery County,Virginia,6
1311,Montour County,Pennsylvania,3
1312,Montrose County,Colorado,1
1313,Moore County,North Carolina,6
1314,Morehouse Parish,Louisiana,1
1315,Morgan County,Alabama,5
1316,Morgan County,Colorado,2
1317,Morgan County,Illinois,3
1318,Morgan County,Indiana,2
1319,Morgan County,Kentucky,1
1320,Morgan County,Missouri,2
1321,Morgan County,Tennessee,1
1322,Morris County,New Jersey,55
1323,Morrison County,Minnesota,2
1324,Morrow County,Ohio,2
1325,Morton County,North Dakota,1
1326,Moultrie County,Illinois,2
1327,Mower County,Minnesota,2
1328,Multnomah County,Oregon,62
1329,Murray County,Oklahoma,1
1330,Muscatine County,Iowa,2
1331,Muscogee County,Georgia,10
1332,Muskegon County,Michigan,5
1333,Muskingum County,Ohio,5
1334,Muskogee County,Oklahoma,3
1335,Musselshell County,Montana,1
1336,Nacogdoches County,Texas,2
1337,Nantucket County,Massachusetts,3
1338,Napa County,California,17
1339,Nash County,North Carolina,4
1340,Nassau County,Florida,5
1341,Nassau County,New York,87
1342,Natchitoches Parish,Louisiana,2
1343,Natrona County,Wyoming,6
1344,Naugatuck Valley Planning Region,Connecticut,24
1345,Navajo County,Arizona,7
1346,Nelson County,Kentucky,6
1347,Nelson County,Virginia,1
1348,Nemaha County,Kansas,1
1349,Neosho County,Kansas,1
1350,Ness County,Kansas,1
1351,Nevada County,California,3
1352,New Castle County,Delaware,53
1353,New Hanover County,North Carolina,17
1354,New Madrid County,Missouri,1
1355,New York County,New York,136
1356,Newaygo County,Michigan,2
1357,Newberry County,South Carolina,1
1358,Newport County,Rhode Island,7
1359,Newport News city,Virginia,13
1360,Newton County,Georgia,6
1361,Newton County,Missouri,1
1362,Nez Perce County,Idaho,6
1363,Niagara County,New York,8
1364,Nicholas County,West Virginia,2
1365,Nicollet County,Minnesota,7
1366,Noble County,Indiana,4
1367,Nobles County,Minnesota,2
1368,Nodaway County,Missouri,3
1369,Nolan County,Texas,1
1370,Norfolk County,Massachusetts,60
1371,Norfolk city,Virginia,27
1372,Northampton County,North Carolina,2
1373,Northampton County,Pennsylvania,14
1374,Northampton County,Virginia,4
1375,Northeastern Connecticut Planning Region,Connecticut,7
1376,Northumberland County,Pennsylvania,8
1377,Northwest Hills Planning Region,Connecticut,16
1378,Noxubee County,Mississippi,1
1379,Nueces County,Texas,20
1380,O'Brien County,Iowa,4
1381,Oakland County,Michigan,82
1382,Ocean County,New Jersey,102
1383,Oceana County,Michigan,1
1384,Ochiltree County,Texas,1
1385,Oconee County,Georgia,4
1386,Oconee County,South Carolina,8
1387,Oconto County,Wisconsin,4
1388,Ogemaw County,Michigan,1
1389,Oglala Lakota County,South Dakota,3
1390,Ogle County,Illinois,1
1391,Ohio County,West Virginia,7
1392,Okaloosa County,Florida,13
1393,Okanogan County,Washington,5
1394,Okeechobee County,Florida,5
1395,Oklahoma County,Oklahoma,36
1396,Okmulgee County,Oklahoma,1
1397,Oldham County,Kentucky,4
1398,Olmsted County,Minnesota,13
1399,Oneida County,New York,5
1400,Oneida County,Wisconsin,3
1401,Onondaga County,New York,21
1402,Onslow County,North Carolina,15
1403,Ontario County,New York,5
1404,Orange County,California,245
1405,Orange County,Florida,143
1406,Orange County,Indiana,1
1407,Orange County,New York,20
1408,Orange County,North Carolina,5
1409,Orange County,Texas,2
1410,Orange County,Vermont,5
1411,Orangeburg County,South Carolina,5
1412,Orleans County,New York,1
1413,Orleans County,Vermont,3
1414,Orleans Parish,Louisiana,41
1415,Osage County,Missouri,7
1416,Osage County,Oklahoma,1
1417,Osceola County,Florida,40
1418,Osceola County,Michigan,1
1419,Oswego County,New York,1
1420,Otero County,New Mexico,6
1421,Otoe County,Nebraska,1
1422,Otsego County,Michigan,2
1423,Otsego County,New York,3
1424,Ottawa County,Michigan,17
1425,Ottawa County,Ohio,4
1426,Otter Tail County,Minnesota,5
1427,Ouachita County,Arkansas,1
1428,Ouachita Parish,Louisiana,10
1429,Outagamie County,Wisconsin,19
1430,Overton County,Tennessee,2
1431,Owen County,Kentucky,1
1432,Oxford County,Maine,8
1433,Ozaukee County,Wisconsin,12
1434,Page County,Iowa,1
1435,Page County,Virginia,1
1436,Palm Beach County,Florida,116
1437,Palo Alto County,Iowa,1
1438,Panola County,Mississippi,1
1439,Panola County,Texas,1
1440,Park County,Montana,2
1441,Parke County,Indiana,3
1442,Parker County,Texas,4
1443,Pasco County,Florida,34
1444,Pasquotank County,North Carolina,5
1445,Passaic County,New Jersey,41
1446,Patrick County,Virginia,1
1447,Paulding County,Georgia,1
1448,Paulding County,Ohio,1
1449,Pawnee County,Nebraska,1
1450,Payette County,Idaho,2
1451,Payne County,Oklahoma,2
1452,Peach County,Georgia,1
1453,Pearl River County,Mississippi,4
1454,Pend Oreille County,Washington,1
1455,Pender County,North Carolina,1
1456,Pennington County,Minnesota,2
1457,Pennington County,South Dakota,10
1458,Penobscot County,Maine,10
1459,Peoria County,Illinois,25
1460,Pepin County,Wisconsin,4
1461,Perry County,Alabama,1
1462,Perry County,Illinois,2
1463,Perry County,Missouri,3
1464,Perry County,Ohio,1
1465,Perry County,Pennsylvania,10
1466,Perry County,Tennessee,1
1467,Person County,North Carolina,2
1468,Petersburg city,Virginia,1
1469,Pettis County,Missouri,4
1470,Phelps County,Missouri,3
1471,Phelps County,Nebraska,1
1472,Philadelphia County,Pennsylvania,121
1473,Phillips County,Arkansas,1
1474,Piatt County,Illinois,1
1475,Pickaway County,Ohio,2
1476,Pickens County,Alabama,1
1477,Pickens County,Georgia,3
1478,Pickens County,South Carolina,4
1479,Pierce County,Georgia,1
1480,Pierce County,Nebraska,3
1481,Pierce County,North Dakota,1
1482,Pierce County,Washington,37
1483,Pierce County,Wisconsin,3
1484,Pike County,Alabama,3
1485,Pike County,Arkansas,1
1486,Pike County,Illinois,1
1487,Pike County,Kentucky,2
1488,Pike County,Mississippi,2
1489,Pike County,Missouri,1
1490,Pike County,Ohio,2
1491,Pima County,Arizona,52
1492,Pinal County,Arizona,5
1493,Pinellas County,Florida,92
1494,Pipestone County,Minnesota,2
1495,Piscataquis County,Maine,1
1496,Pitkin County,Colorado,1
1497,Pitt County,North Carolina,11
1498,Pittsburg County,Oklahoma,1
1499,Pittsylvania County,Virginia,3
1500,Placer County,California,22
1501,Plaquemines Parish,Louisiana,1
1502,Platte County,Missouri,5
1503,Platte County,Nebraska,8
1504,Plumas County,California,2
1505,Plymouth County,Iowa,2
1506,Plymouth County,Massachusetts,27
1507,Pointe Coupee Parish,Louisiana,1
1508,Polk County,Florida,55
1509,Polk County,Georgia,1
1510,Polk County,Iowa,22
1511,Polk County,Minnesota,3
1512,Polk County,Oregon,4
1513,Polk County,Tennessee,1
1514,Polk County,Texas,2
1515,Polk County,Wisconsin,1
1516,Pontotoc County,Mississippi,1
1517,Pope County,Arkansas,1
1518,Pope County,Minnesota,1
1519,Portage County,Ohio,4
1520,Portage County,Wisconsin,9
1521,Porter County,Indiana,11
1522,Portsmouth city,Virginia,10
1523,Posey County,Indiana,3
1524,Pottawatomie County,Oklahoma,2
1525,Pottawattamie County,Iowa,2
1526,Potter County,Pennsylvania,3
1527,Potter County,Texas,4
1528,Poweshiek County,Iowa,1
1529,Powhatan County,Virginia,1
1530,Presque Isle County,Michigan,3
1531,Price County,Wisconsin,1
1532,Prince Edward County,Virginia,2
1533,Prince George's County,Maryland,55
1534,Prince William County,Virginia,26
1535,Providence County,Rhode Island,49
1536,Pueblo County,Colorado,7
1537,Pulaski County,Arkansas,27
1538,Pulaski County,Kentucky,3
1539,Pulaski County,Missouri,2
1540,Pulaski County,Virginia,2
1541,Putnam County,Florida,5
1542,Putnam County,Indiana,1
1543,Putnam County,New York,5
1544,Putnam County,Ohio,3
1545,Putnam County,Tennessee,5
1546,Putnam County,West Virginia,2
1547,Queen Anne's County,Maryland,5
1548,Queens County,New York,118
1549,Rabun County,Georgia,2
1550,Racine County,Wisconsin,21
1551,Radford city,Virginia,1
1552,Raleigh County,West Virginia,7
1553,Ramsey County,Minnesota,34
1554,Ramsey County,North Dakota,1
1555,Randall County,Texas,5
1556,Randolph County,Alabama,1
1557,Randolph County,Arkansas,1
1558,Randolph County,Illinois,7
1559,Randolph County,Missouri,2
1560,Randolph County,North Carolina,7
1561,Randolph County,West Virginia,4
1562,Rankin County,Mississippi,8
1563,Rapides Parish,Louisiana,7
1564,Rappahannock County,Virginia,3
1565,Ravalli County,Montana,3
1566,Red River Parish,Louisiana,1
1567,Red Willow County,Nebraska,1
1568,Redwood County,Minnesota,3
1569,Reno County,Kansas,6
1570,Rensselaer County,New York,12
1571,Renville County,Minnesota,1
1572,Rhea County,Tennessee,1
1573,Rice County,Minnesota,8
1574,Richardson County,Nebraska,1
1575,Richland County,Illinois,3
1576,Richland County,Montana,1
1577,Richland County,North Dakota,1
1578,Richland County,Ohio,10
1579,Richland County,South Carolina,22
1580,Richland County,Wisconsin,3
1581,Richmond County,Georgia,12
1582,Richmond County,New York,26
1583,Richmond County,North Carolina,2
1584,Richmond city,Virginia,25
1585,Riley County,Kansas,1
1586,Rio Arriba County,New Mexico,1
1587,Rio Blanco County,Colorado,1
1588,Ripley County,Indiana,2
1589,Ripley County,Missouri,1
1590,Ritchie County,West Virginia,1
1591,Riverside County,California,88
1592,Roane County,Tennessee,4
1593,Roanoke County,Virginia,6
1594,Roanoke city,Virginia,6
1595,Robertson County,Tennessee,6
1596,Robeson County,North Carolina,5
1597,Rock County,Minnesota,2
1598,Rock County,Wisconsin,8
1599,Rock Island County,Illinois,7
1600,Rockbridge County,Virginia,3
1601,Rockdale County,Georgia,9
1602,Rockingham County,New Hampshire,30
1603,Rockingham County,North Carolina,5
1604,Rockingham County,Virginia,11
1605,Rockland County,New York,50
1606,Rockwall County,Texas,7
1607,Rogers County,Oklahoma,4
1608,Rooks County,Kansas,1
1609,Roscommon County,Michigan,2
1610,Rosebud County,Montana,2
1611,Ross County,Ohio,3
1612,Routt County,Colorado,1
1613,Rowan County,Kentucky,1
1614,Rowan County,North Carolina,9
1615,Rush County,Indiana,2
1616,Rusk County,Texas,1
1617,Rusk County,Wisconsin,2
1618,Russell County,Alabama,3
1619,Russell County,Virginia,1
1620,Rutherford County,North Carolina,4
1621,Rutherford County,Tennessee,16
1622,Rutland County,Vermont,7
1623,Sacramento County,California,75
1624,Sagadahoc County,Maine,2
1625,Saginaw County,Michigan,22
1626,Saguache County,Colorado,1
1627,Salem County,New Jersey,1
1628,Salem city,Virginia,2
1629,Saline County,Arkansas,3
1630,Saline County,Illinois,1
1631,Saline County,Kansas,3
1632,Saline County,Missouri,1
1633,Saline County,Nebraska,1
1634,Salt Lake County,Utah,53
1635,Saluda County,South Carolina,2
1636,Sampson County,North Carolina,5
1637,San Benito County,California,5
1638,San Bernardino County,California,78
1639,San Diego County,California,179
1640,San Francisco County,California,90
1641,San Joaquin County,California,29
1642,San Juan County,New Mexico,11
1643,San Juan County,Utah,1
1644,San Juan County,Washington,3
1645,San Luis Obispo County,California,16
1646,San Mateo County,California,82
1647,San Miguel County,Colorado,1
1648,San Miguel County,New Mexico,2
1649,Sanders County,Montana,3
1650,Sandoval County,New Mexico,8
1651,Sandusky County,Ohio,6
1652,Sangamon County,Illinois,14
1653,Sanilac County,Michigan,1
1654,Sanpete County,Utah,2
1655,Santa Barbara County,California,29
1656,Santa Clara County,California,172
1657,Santa Cruz County,Arizona,5
1658,Santa Cruz County,California,23
1659,Santa Fe County,New Mexico,19
1660,Santa Rosa County,Florida,8
1661,Sarasota County,Florida,32
1662,Saratoga County,New York,12
1663,Sarpy County,Nebraska,8
1664,Sauk County,Wisconsin,13
1665,Saunders County,Nebraska,2
1666,Sawyer County,Wisconsin,2
1667,Schenectady County,New York,7
1668,Schoharie County,New York,2
1669,Schoolcraft County,Michigan,2
1670,Schuylkill County,Pennsylvania,10
1671,Scioto County,Ohio,5
1672,Scotland County,North Carolina,2
1673,Scott County,Indiana,1
1674,Scott County,Iowa,8
1675,Scott County,Kentucky,3
1676,Scott County,Minnesota,12
1677,Scott County,Missouri,8
1678,Scott County,Tennessee,1
1679,Scotts Bluff County,Nebraska,3
1680,Screven County,Georgia,2
1681,Scurry County,Texas,1
1682,Sebastian County,Arkansas,9
1683,Sedgwick County,Kansas,32
1684,Seminole County,Florida,53
1685,Seneca County,New York,3
1686,Seneca County,Ohio,2
1687,Sequatchie County,Tennessee,1
1688,Sevier County,Arkansas,1
1689,Sevier County,Tennessee,5
1690,Sevier County,Utah,2
1691,Seward County,Kansas,1
1692,Seward County,Nebraska,4
1693,Sharkey County,Mississippi,1
1694,Shasta County,California,7
1695,Shawano County,Wisconsin,10
1696,Shawnee County,Kansas,11
1697,Sheboygan County,Wisconsin,14
1698,Shelby County,Alabama,15
1699,Shelby County,Illinois,2
1700,Shelby County,Indiana,1
1701,Shelby County,Iowa,1
1702,Shelby County,Kentucky,1
1703,Shelby County,Missouri,2
1704,Shelby County,Ohio,2
1705,Shelby County,Tennessee,61
1706,Shenandoah County,Virginia,5
1707,Sherburne County,Minnesota,2
1708,Sheridan County,Wyoming,2
1709,Shiawassee County,Michigan,4
1710,Shoshone County,Idaho,1
1711,Sibley County,Minnesota,4
1712,Sierra County,New Mexico,1
1713,Silver Bow County,Montana,4
1714,Simpson County,Kentucky,2
1715,Simpson County,Mississippi,2
1716,Sioux County,Iowa,11
1717,Sioux County,North Dakota,1
1718,Siskiyou County,California,4
1719,Skagit County,Washington,7
1720,Smith County,Texas,14
1721,Snohomish County,Washington,36
1722,Snyder County,Pennsylvania,21
1723,Solano County,California,23
1724,Somerset County,Maine,5
1725,Somerset County,New Jersey,49
1726,Somerset County,Pennsylvania,18
1727,Somervell County,Texas,1
1728,Sonoma County,California,35
1729,South Central Connecticut Planning Region,Connecticut,48
1730,Southampton County,Virginia,1
1731,Southeast Fairbanks Census Area,Alaska,1
1732,Southeastern Connecticut Planning Region,Connecticut,19
1733,Spalding County,Georgia,2
1734,Spartanburg County,South Carolina,8
1735,Spencer County,Indiana,1
1736,Spencer County,Kentucky,1
1737,Spokane County,Washington,40
1738,Spotsylvania County,Virginia,8
1739,St. Bernard Parish,Louisiana,1
1740,St. Charles County,Missouri,27
1741,St. Charles Parish,Louisiana,1
1742,St. Clair County,Alabama,3
1743,St. Clair County,Illinois,23
1744,St. Clair County,Michigan,6
1745,St. Croix County,Wisconsin,6
1746,St. Francis County,Arkansas,1
1747,St. Francois County,Missouri,3
1748,St. James Parish,Louisiana,1
1749,St. John the Baptist Parish,Louisiana,4
