,Unnamed: 0,County,total_popE,total_popM,whiteE,whiteM,blackE,blackM,native_americanE,native_americanM,asianE,asianM,pacific_islanderE,pacific_islanderM,other_raceE,other_raceM,two_or_moreE,two_or_moreM,med_incE,med_incM,hispanicE,hispanicM,poverty_incomeE,poverty_incomeM,poverty_totalE,poverty_totalM,number_of_schools,schools_per_capita,schools_per_10000,considered_low_income,poverty_rate,State
1110,9801,Hamilton County,13492,,7985,197,4403,172,163,88,69,58,0,23,346,184,526,169,47668,5797,1445,,2822,435,10680,158,1,7.411799584939223e-05,0.7411799584939223,57377.600000000006,26.423220973782772,Nebraska
1111,9807,Thurston County,6716,,2442,60,12,13,3793,84,61,18,0,15,79,60,329,86,63459,4069,529,,1253,195,6602,44,1,0.0001488981536628,1.4889815366289458,57377.600000000006,18.97909724325962,Nebraska
1112,9808,Colfax County,10563,,6883,725,345,226,637,436,2,4,3,6,1279,547,1414,725,71205,3687,4874,,1057,441,10338,198,1,9.467007478935909e-05,0.9467007478935908,57377.600000000006,10.224414780421744,Nebraska
1113,9811,Merrick County,7675,,7128,78,5,9,26,26,127,32,0,15,131,86,258,81,57873,5913,412,,772,206,7536,17,1,0.0001302931596091,1.3029315960912051,57377.600000000006,10.24416135881104,Nebraska
1114,9814,Scotts Bluff County,36048,,29563,500,204,96,662,201,202,49,66,92,1712,433,3639,581,60137,4055,8972,,4379,702,35113,96,1,2.7740790057700843e-05,0.2774079005770084,57377.600000000006,12.471164525959049,Nebraska
1115,9822,York County,457051,,386877,1754,27481,1229,715,265,6713,419,177,89,11342,1380,23746,2068,79183,1416,38943,,38540,2049,448114,393,2,4.375879278242472e-06,0.0437587927824247,57377.600000000006,8.600490053870221,Nebraska
1116,9824,Boone County,71235,,63882,374,1536,164,37,35,2227,236,27,45,562,318,2964,461,103038,3101,2488,,4050,796,70260,214,1,1.4038043096792308e-05,0.140380430967923,57377.600000000006,5.764304013663535,Nebraska
1117,9828,Cheshire County,76610,,71795,250,517,144,102,48,512,239,14,16,532,262,3138,386,76551,4519,1662,,6538,726,72615,152,10,0.0001305312622373,1.3053126223730585,72676.0,9.003649383736143,New Hampshire
1118,9829,Strafford County,130965,,117587,586,1445,294,64,39,3908,366,98,142,1078,356,6785,706,83212,3473,3790,,11112,1224,121838,355,7,5.344939487649372e-05,0.5344939487649373,72676.0,9.120307293291091,New Hampshire
1119,9831,Rockingham County,91209,,66592,672,16080,579,650,450,514,173,157,129,2767,649,4449,684,50737,2244,5910,,16806,1456,89294,429,25,0.000274095758094,2.740957580940478,72676.0,18.82097341366721,New Hampshire
1120,9834,Hillsborough County,422733,,358618,1656,10912,871,604,201,17708,695,64,72,7716,1083,27111,1830,95112,2183,32558,,28465,2186,414999,302,46,0.0001088157300234,1.088157300234427,72676.0,6.8590526724160785,New Hampshire
1121,9855,Carson City,58249,,43436,972,1243,190,1197,273,1556,221,14,15,4710,730,6093,823,67465,2052,14576,,6213,899,55586,150,1,1.7167676698312416e-05,0.1716767669831241,72676.0,11.177274853380348,New Hampshire
1122,9856,Grafton County,90836,,81662,374,1057,183,209,84,3082,241,55,54,693,195,4078,435,79949,2014,2385,,8361,816,84824,123,10,0.0001100885111629,1.1008851116297502,72676.0,9.856880128265583,New Hampshire
1123,9862,Belknap County,63914,,60430,372,476,242,166,93,782,123,12,21,507,265,1541,342,80719,6424,1278,,5408,803,63104,70,3,4.6938073035641645e-05,0.4693807303564165,72676.0,8.56997971602434,New Hampshire
1124,9864,Merrimack County,153918,,141787,394,2451,269,407,176,2986,327,31,31,799,263,5457,527,88806,2398,3802,,10722,1021,147941,132,14,9.09575228368352e-05,0.909575228368352,72676.0,7.247483794215262,New Hampshire
1125,9873,Sullivan County,158722,,147979,449,3156,376,254,98,1225,197,12,19,1267,432,4829,616,54357,2124,3534,,23761,2187,156394,185,5,3.1501619183226015e-05,0.3150161918322601,72676.0,15.193038096090644,New Hampshire
1126,9876,Coos County,31430,,29979,124,634,139,25,32,160,31,1,3,48,34,583,165,55247,3519,589,,3419,495,29447,84,3,9.545020680878142e-05,0.9545020680878142,72676.0,11.610690392909294,New Hampshire
1127,9885,Atlantic County,274339,,164950,1403,37060,1171,917,430,21399,558,162,38,25069,1907,24782,2087,73113,1917,54178,,34989,2379,268551,613,1,3.6451251918247137e-06,0.0364512519182471,72676.0,13.028810170135282,New Hampshire
1128,9953,Ocean County,638691,,555742,2237,19810,963,1535,656,11956,563,106,76,19249,2167,30293,2224,82379,1455,61991,,66258,5005,631808,401,95,0.0001487417233059,1.487417233059492,77700.8,10.487046697730957,New Jersey
1129,9954,Middlesex County,860147,,411593,3614,87996,1489,5087,982,214701,1613,352,79,74810,4071,65608,3077,105206,1538,191469,,69626,3783,833382,590,44,5.115404692453732e-05,0.5115404692453732,77700.8,8.354632089485973,New Jersey
1130,9955,Mercer County,383732,,206314,2557,75624,1327,1020,369,46762,548,99,66,26949,2588,26964,2562,92697,2156,73707,,41079,2959,365993,373,37,9.642146081119114e-05,0.9642146081119114,77700.8,11.223985158186084,New Jersey
1131,9956,Somerset County,344978,,198971,1549,33100,880,1230,445,65730,686,24,23,21402,2026,24521,1861,131948,3280,53476,,18097,1649,341965,295,44,0.0001275443651479,1.275443651479225,77700.8,5.292062053134092,New Jersey
1132,9958,Gloucester County,302621,,237645,1199,31612,1025,343,170,9796,345,48,103,9374,1367,13803,1297,99668,2605,21577,,22231,1652,297505,324,15,4.956695007947234e-05,0.4956695007947234,77700.8,7.4724794541268205,New Jersey
1133,9959,Union County,572079,,254904,3258,118209,1826,1987,1241,32237,764,87,72,106983,3966,57672,3707,95000,2210,189236,,50130,2919,565679,579,47,8.215648538051562e-05,0.8215648538051562,77700.8,8.861916387209,New Jersey
1134,9962,Bernalillo County,674692,,406649,5327,19377,993,33180,1426,18517,753,597,208,70948,3678,125424,4794,62220,1395,342361,,109353,4714,666186,455,1,1.4821577845891162e-06,0.0148215778458911,77700.8,16.41478506002828,New Jersey
1135,9963,Essex County,10602,,6068,151,3994,75,35,61,60,60,0,21,6,8,439,188,52335,8000,469,,1797,480,10501,6,46,0.0043388039992454,43.38803999245425,77700.8,17.11265593752976,New Jersey
1136,9965,Warren County,135307,,107134,673,11877,613,159,85,6723,284,694,67,2586,514,6134,787,63074,2102,7652,,22132,1844,128934,342,4,2.9562402536454137e-05,0.2956240253645413,77700.8,17.165371430344205,New Jersey
1137,9971,Cape May County,95456,,83363,688,3601,376,66,77,764,140,0,32,2865,682,4797,757,83870,3707,7960,,8443,1223,94207,80,5,5.2380154207173984e-05,0.5238015420717398,77700.8,8.962179031282176,New Jersey
1138,9973,Monmouth County,643064,,504819,2080,42384,1114,2193,971,34800,900,270,65,20446,1774,38152,2303,118527,1903,72419,,40595,1953,636657,710,47,7.308759314780488e-05,0.7308759314780487,77700.8,6.376274823020873,New Jersey
1139,9975,Bergen County,953243,,593955,3815,54689,1480,2364,469,158543,1420,204,73,55942,3435,87546,3958,118714,1607,205545,,63825,4413,942790,624,84,8.812023796660453e-05,0.8812023796660453,77700.8,6.769800273655852,New Jersey
1140,9994,Morris County,11993,,8167,240,2698,112,43,38,117,23,4,8,603,207,361,124,51532,3457,1334,,1844,413,11696,137,51,0.0042524806136913,42.524806136913206,77700.8,15.766073871409027,New Jersey
1141,10014,Camden County,43227,,40915,221,369,59,123,92,207,122,0,25,421,192,1192,277,59834,2731,1352,,5726,649,42555,114,32,0.0007402780669488,7.402780669488976,77700.8,13.45552814005405,New Jersey
1142,10020,Cumberland County,61552,,58492,341,574,173,101,71,165,99,516,314,189,117,1515,268,56002,2777,1982,,7697,866,60910,101,6,9.747855471796204e-05,0.9747855471796204,77700.8,12.636677064521423,New Jersey
1143,10026,Passaic County,519986,,263234,3177,55831,1021,1542,443,28369,694,179,116,90649,4089,80182,3696,84465,1564,224495,,68995,3604,512486,296,36,6.92326331862781e-05,0.692326331862781,77700.8,13.46280678886838,New Jersey
1144,10049,Hunterdon County,129099,,110929,668,3320,225,158,96,5753,339,56,44,2230,440,6653,650,133534,3236,9396,,4685,594,126809,195,3,2.323798015476495e-05,0.2323798015476495,77700.8,3.694532722440836,New Jersey
1145,10052,Hudson County,712029,,294600,4578,85956,1864,4273,1100,114096,1211,120,139,104184,4537,108800,3852,86854,1782,302289,,99546,4208,703117,730,32,4.4941989722328726e-05,0.4494198972232872,77700.8,14.157814417799596,New Jersey
1146,10152,Atlantic County,274339,,164950,1403,37060,1171,917,430,21399,558,162,38,25069,1907,24782,2087,73113,1917,54178,,34989,2379,268551,613,14,5.1031752685545984e-05,0.5103175268554598,77700.8,13.028810170135282,New Jersey
1147,10175,Burlington County,461853,,312451,1712,76293,1564,907,422,25304,631,222,272,14899,1618,31777,2080,102615,1436,41114,,29718,2329,451399,372,30,6.495573266818664e-05,0.6495573266818664,77700.8,6.583532528871354,New Jersey
1148,10190,Sullivan County,158722,,147979,449,3156,376,254,98,1225,197,12,19,1267,432,4829,616,54357,2124,3534,,23761,2187,156394,185,1,6.300323836645204e-06,0.063003238366452,77700.8,15.193038096090644,New Jersey
1149,10220,Sussex County,240668,,187830,1446,26369,717,1191,308,3098,220,91,91,7677,1359,14412,1449,75406,1681,22849,,27585,2071,237315,309,9,3.7395914704073664e-05,0.3739591470407366,77700.8,11.623791163643258,New Jersey
1150,10336,Salem County,64840,,48862,550,9492,432,208,127,583,163,12,19,2499,581,3184,577,73378,3047,6698,,8271,988,63462,144,1,1.5422578655151142e-05,0.1542257865515114,77700.8,13.032996123664557,New Jersey
1151,10637,Bernalillo County,674692,,406649,5327,19377,993,33180,1426,18517,753,597,208,70948,3678,125424,4794,62220,1395,342361,,109353,4714,666186,455,41,6.076846916815377e-05,0.6076846916815377,46977.600000000006,16.41478506002828,New Mexico
