"GEOID","NAME","B01003_001E","B01003_001M","area_km2","pop_density"
"47155","Sevier County, Tennessee",98455,NA,1548.47039901471,63.5821001568042
"47167","Tipton County, Tennessee",61116,NA,1212.91346040835,50.3877663122183
"47147","Robertson County, Tennessee",73297,NA,1234.364557796,59.380350429758
"48167","Galveston County, Texas",350801,NA,1065.66915025121,329.183780836018
"48261","Kenedy County, Texas",116,95,3998.18844677512,0.0290131397117021
"48479","Webb County, Texas",267282,NA,8746.52227141109,30.5586599686185
"48409","San Patricio County, Texas",68942,NA,1827.83423182681,37.7178623748044
"48141","El Paso County, Texas",863832,NA,2629.05080124255,328.57181747562
"48321","Matagorda County, Texas",36251,NA,3581.01118645888,10.1231183351446
"48245","Jefferson County, Texas",254942,NA,2552.90462378947,99.863503565429
"49025","Kane County, Utah",7814,NA,10639.7306134311,0.734417090422947
"51141","Patrick County, Virginia",17660,NA,1258.62296061001,14.0312075599199
"49005","Cache County, Utah",134428,NA,3037.8368595982,44.2512242141206
"49043","Summit County, Utah",42524,NA,4873.03150892578,8.7263954526274
"49047","Uintah County, Utah",35951,NA,11665.5936634824,3.08179772389466
"49023","Juab County, Utah",11943,NA,8817.13480406325,1.35452165191988
"50009","Essex County, Vermont",5976,NA,1744.67534189285,3.42527910867156
"51001","Accomack County, Virginia",33367,NA,1456.25880016113,22.9128229105349
"51095","James City County, Virginia",78818,NA,404.316864578257,194.941163491202
"51093","Isle of Wight County, Virginia",38898,NA,835.326908191738,46.5662001529484
"51153","Prince William County, Virginia",481114,NA,886.866763649249,542.487349531883
"51057","Essex County, Virginia",10602,NA,687.152339834113,15.4288931076906
"51105","Lee County, Virginia",22287,NA,1132.58975738069,19.6779106068755
"51195","Wise County, Virginia",36105,NA,1050.35269438812,34.3741680227066
"51191","Washington County, Virginia",53985,NA,1466.64887866594,36.808400964452
"51083","Halifax County, Virginia",34013,NA,2149.03919823547,15.827072874207
"51059","Fairfax County, Virginia",1145354,NA,1041.22272245487,1100.00864877365
"51171","Shenandoah County, Virginia",44337,NA,1325.61710658182,33.4463094809672
"53073","Whatcom County, Washington",226523,NA,5614.88560217193,40.3432974506867
"53067","Thurston County, Washington",294272,NA,1967.47580051261,149.568294524045
"53033","King County, Washington",2254371,NA,5676.51976940884,397.139636886136
"53075","Whitman County, Washington",47141,NA,5640.94040851891,8.35693990470242
"53031","Jefferson County, Washington",33006,NA,4729.8752609744,6.97819671320474
"53065","Stevens County, Washington",46774,NA,6579.25189747045,7.10931892089181
"54063","Monroe County, West Virginia",12438,NA,1226.68786341944,10.1394987028963
"54073","Pleasants County, West Virginia",7622,NA,348.516309506128,21.8698516887227
"54095","Tyler County, West Virginia",8336,NA,675.295492822856,12.3442257331735
"54047","McDowell County, West Virginia",18911,NA,1385.81665016937,13.646105347117
