,PCNTNM,NAME,PPHONE,PCNTY,PCNTY22,P_INDIAN,P_ASIAN,P_PACIFIC,P_HISP,P_WHITE,P_BLACK,P_TR,STTCH_RT,State,ZIP,RELIG,ORIENT
18614,ALEXANDRIA,IMMANUEL LUTHERAN SCHOOL,7035490155.0,510,51051,0.0,0.0,0.5649717514,0.5649717514,86.440677966,3.3898305085,9.0395480226,15.25862069,VA,22301,2,20
18615,FAIRFAX,BROOKSFIELD SCHOOL,7033565437.0,59,5951,0.0,22.222222222,0.0,0.0,61.111111111,0.0,16.666666667,3.6,VA,22101,3,30
18616,GLOUCESTER,GLOUCESTER MONTESSORI SCHOOL,8046936455.0,73,7351,0.0,0.0,0.0,0.0,92.0,8.0,0.0,4.6296296296,VA,23061,3,30
18617,NORFOLK,NORFOLK ACADEMY,7574526808.0,710,71051,0.0,8.9775561097,0.2493765586,2.8262676642,73.399833749,6.3175394846,8.2294264339,10.335051546,VA,23502,3,30
18618,JAMES CITY,WILLIAMSBURG CHRISTIAN ACADEMY,7573785260.0,95,9551,0.0,0.5050505051,0.0,2.5252525253,91.919191919,2.5252525253,2.5252525253,9.0,VA,23188,2,8
18619,SPOKANE,ST GEORGE'S SCHOOL,5094648830.0,63,6353,0.0,12.828947368,0.6578947368,3.6184210526,69.078947368,1.9736842105,11.842105263,8.1940700809,WA,99208,3,30
18620,SNOHOMISH,CEDAR PARK CHRISTIAN SCHOOL-LYNNWOOD CAMPUS,9284601088.0,61,6153,1.3793103448,14.482758621,0.0,2.0689655172,66.896551724,6.8965517241,8.275862069,18.125,WA,98037,2,8
18621,YAKIMA,SUNNYSIDE CHRISTIAN SCHOOL,5098378995.0,77,7753,0.0,2.1834061135,0.0,20.96069869,75.982532751,0.8733624454,0.0,11.170731707,WA,98944,2,7
18622,CLALLAM,OLYMPIC CHRISTIAN SCHOOL,3604574640.0,9,953,6.6666666667,1.5384615385,0.0,6.6666666667,84.102564103,1.0256410256,0.0,12.745098039,WA,98362,2,8
18623,PEND OREILLE,LIFE PREP ACADEMY,5094473710.0,51,5153,0.0,4.5454545455,4.5454545455,9.0909090909,77.272727273,4.5454545455,0.0,6.4705882353,WA,99156,2,29
18624,THURSTON,TEMPLE BAPTIST ACADEMY,3604913395.0,67,6753,0.0,0.0,0.0,0.0,64.705882353,0.0,35.294117647,7.3913043478,WA,98503,2,5
18625,ISLAND,ISLAND CHRISTIAN ACADEMY,3602210919.0,29,2953,3.5714285714,3.5714285714,0.0,5.0,70.714285714,2.8571428571,14.285714286,11.666666667,WA,98260,2,8
18626,MONONGALIA,COVENANT CHRISTIAN SCHOOL,3042926050.0,61,6154,0.0,2.6785714286,0.0,0.8928571429,91.071428571,4.4642857143,0.8928571429,9.1056910569,WV,26507,2,25
